"","V1","V2","V3","V4","V5","V6","V7","V8"
"3830",1,2,4,0,0,8,0,17
"3831",1,1,1,0,0,2,0,5
"3832",0,0,6,0,0,6,1,13
"3833",2,0,16,0,0,12,3,33
"3834",4,0,1,0,0,0,0,5
"3835",9,4,19,1,2,12,7,54
"3836",1,1,8,0,1,2,1,14
"3837",1,1,4,0,0,1,3,11
"3838",5,4,19,1,1,7,8,45
"3839",0,0,1,0,1,5,0,7
"3840",1,0,2,0,0,0,0,3
"3841",1,3,3,0,0,10,0,18
"3842",0,0,0,0,0,3,1,4
"3843",0,0,5,0,1,2,4,12
"3844",0,0,0,0,0,0,0,0
"3845",0,7,7,0,1,10,18,43
"3846",0,2,3,0,0,5,2,12
"3847",3,6,8,0,0,4,5,26
"3848",0,0,4,0,0,0,0,4
"3849",11,13,37,1,2,22,21,108
"3850",3,1,3,0,0,4,1,12
"3851",0,0,3,0,0,1,1,5
"3852",0,0,2,0,0,5,0,7
"3853",0,0,5,0,0,1,1,7
"3854",0,0,3,0,0,1,1,5
"3855",0,4,8,0,0,4,2,18
"3856",0,0,1,0,0,1,1,3
"3857",0,1,4,0,0,2,0,8
"3858",0,6,16,0,0,6,4,32
"3859",0,0,6,0,0,6,1,13
"3860",0,1,0,0,1,0,2,4
"3861",0,0,1,0,0,0,0,1
"3862",0,0,0,0,0,3,0,3
"3863",0,2,11,0,0,5,9,27
"3864",1,2,9,0,0,1,2,16
"3865",0,7,6,0,0,7,17,37
"3866",0,3,8,0,0,8,4,24
"3867",1,9,10,0,0,3,5,28
"3868",0,0,5,0,0,1,1,7
"3869",0,1,5,0,0,3,1,10
"3870",1,1,6,0,1,7,2,18
"3871",3,0,5,2,0,6,5,21
"3872",0,0,2,0,1,3,3,9
"3873",1,0,9,0,0,3,0,13
"3874",0,0,1,0,0,2,0,3
"3875",3,5,13,0,1,6,8,36
"3876",0,0,8,0,0,6,2,16
"3877",1,0,6,0,0,19,1,28
"3878",1,0,7,0,0,3,2,13
"3879",0,0,6,0,0,2,3,11
"3880",0,0,0,0,0,1,1,2
"3881",4,16,32,0,2,22,23,99
"3882",0,0,0,0,0,2,0,2
"3883",0,0,10,0,0,7,1,18
"3884",1,0,7,0,0,1,0,9
