"","x"
"1793",31
"1794",316
"1795",123
"1796",261
"1797",31
"1798",249
"1799",289
"1800",442
"1801",311
"1802",101
"1803",48
"1804",36
"1805",261
"1806",124
"1807",27
"1808",314
"1809",34
"1810",152
"1811",236
"1812",659
"1813",72
"1814",293
"1815",872
"1816",150
"1817",23
"1818",127
"1819",158
"1820",51
"1821",339
"1822",76
"1823",189
"1824",245
"1825",36
"1826",41
"1827",93
"1828",181
"1829",54
"1830",44
"1831",68
"1832",23
"1833",374
"1834",24
"1835",11
"1836",82
"1837",329
"1838",13
"1839",75
"1840",210
"1841",238
"1842",293
"1843",10
"1844",60
"1845",35
"1846",47
"1847",371
"1848",34
"1849",199
"1850",39
"1851",98
"1852",436
"1853",40
"1854",36
"1855",62
"1856",61
"1857",277
"1858",15
"1859",28
"1860",383
"1861",99
"1862",35
"1863",79
"1864",73
"1865",18
"1866",67
"1867",101
"1868",91
"1869",70
"1870",7
"1871",148
"1872",53
"1873",114
"1874",160
"1875",191
"1876",45
"1877",77
"1878",272
"1879",83
"1880",145
"1881",58
"1882",30
"1883",5
"1884",113
"1885",22
"1886",51
"1887",30
"1888",91
"1889",133
"1890",21
"1891",46
"1892",15
"1893",91
"1894",50
"1895",356
"1896",63
"1897",84
"1898",142
"1899",127
"1900",186
"1901",56
"1902",40
"1903",41
"1904",52
"1905",169
"1906",15
"1907",87
"1908",114
"1909",6
"1910",51
"1911",260
"1912",90
"1913",66
"1914",55
"1915",248
"1916",26
"1917",73
"1918",381
"1919",79
"1920",41
"1921",121
"1922",32
"1923",63
"1924",689
"1925",275
"1926",83
"1927",24
"1928",76
"1929",67
"1930",39
"1931",223
"1932",196
"1933",350
"1934",11
"1935",134
"1936",33
"1937",53
"1938",48
"1939",76
"1940",154
"1941",232
"1942",170
"1943",25
"1944",383
"1945",134
"1946",269
"1947",25
"1948",16
"1949",647
"1950",579
"1951",590
"1952",30
"1953",264
"1954",238
"1955",140
"1956",474
"1957",252
"1958",17
"1959",287
"1960",55
"1961",10
"1962",136
"1963",16
"1964",76
"1965",144
"1966",48
"1967",49
"1968",34
"1969",58
"1970",79
"1971",71
"1972",256
"1973",45
"1974",21
"1975",53
"1976",44
"1977",189
"1978",25
"1979",88
"1980",183
"1981",457
"1982",113
"1983",50
"1984",26
"1985",89
"1986",61
"1987",126
"1988",0
"1989",269
"1990",62
"1991",256
"1992",59
"1993",331
"1994",39
"1995",82
"1996",147
"1997",16
"1998",90
"1999",340
"2000",33
"2001",137
"2002",48
"2003",145
"2004",79
"2005",21
"2006",43
"2007",22
"2008",60
"2009",27
"2010",621
"2011",31
"2012",56
"2013",38
"2014",26
"2015",18
"2016",13
"2017",119
"2018",101
"2019",117
"2020",96
"2021",304
"2022",100
"2023",194
"2024",56
"2025",75
"2026",204
"2027",114
"2028",427
"2029",59
"2030",309
"2031",371
"2032",13
"2033",26
"2034",79
"2035",293
"2036",507
"2037",55
"2038",108
"2039",107
"2040",170
"2041",343
"2042",227
"2043",72
"2044",106
"2045",400
"2046",171
"2047",31
"2048",97
"2049",67
"2050",40
"2051",252
"2052",123
"2053",46
"2054",87
"2055",16
"2056",102
"2057",92
"2058",79
"2059",5
"2060",117
"2061",47
"2062",16
"2063",51
"2064",299
"2065",94
"2066",324
"2067",163
"2068",32
"2069",631
"2070",291
"2071",35
"2072",229
"2073",130
"2074",104
"2075",15
"2076",273
"2077",99
"2078",181
"2079",22
"2080",41
"2081",231
"2082",20
"2083",101
"2084",311
"2085",199
"2086",16
"2087",80
"2088",251
"2089",17
"2090",4
"2091",72
"2092",91
"2093",153
"2094",37
"2095",37
"2096",147
"2097",82
"2098",42
"2099",1110
"2100",40
"2101",21
"2102",641
"2103",17
"2104",385
"2105",286
"2106",58
"2107",135
"2108",33
"2109",247
"2110",1
"2111",68
"2112",26
"2113",84
"2114",1
"2115",83
"2116",581
"2117",59
"2118",35
"2119",29
"2120",58
"2121",32
"2122",91
"2123",378
"2124",585
"2125",12
"2126",42
"2127",14
"2128",300
"2129",95
"2130",234
"2131",202
"2132",48
"2133",392
"2134",126
"2135",89
"2136",40
"2137",165
"2138",99
"2139",89
"2140",317
"2141",331
"2142",16
"2143",51
"2144",90
"2145",71
"2146",151
"2147",5
"2148",17
"2149",391
"2150",23
"2151",12
"2152",103
"2153",230
"2154",17
"2155",388
"2156",231
"2157",84
"2158",13
"2159",97
"2160",193
"2161",464
"2162",23
"2163",98
"2164",177
"2165",264
"2166",30
"2167",599
"2168",136
"2169",15
"2170",405
"2171",18
"2172",24
"2173",54
"2174",1301
"2175",54
"2176",63
"2177",313
"2178",633
"2179",29
"2180",34
"2181",42
"2182",362
"2183",8
"2184",27
"2185",81
"2186",75
"2187",394
"2188",20
"2189",75
"2190",92
"2191",49
"2192",298
"2193",95
"2194",65
"2195",396
"2196",458
"2197",48
"2198",60
"2199",90
"2200",10
"2201",42
"2202",34
"2203",152
"2204",55
"2205",26
"2206",71
"2207",61
"2208",25
"2209",10
"2210",292
"2211",26
"2212",15
"2213",130
"2214",163
"2215",405
"2216",19
"2217",134
"2218",139
"2219",7
"2220",175
"2221",45
"2222",25
"2223",301
"2224",407
"2225",17
"2226",306
"2227",31
"2228",35
"2229",45
"2230",128
"2231",210
"2232",249
"2233",68
"2234",151
"2235",0
"2236",307
"2237",93
"2238",84
"2239",16
"2240",64
"2241",134
"2242",275
"2243",36
"2244",17
"2245",287
"2246",42
"2247",31
"2248",26
"2249",179
"2250",48
"2251",84
"2252",33
"2253",44
"2254",92
"2255",457
"2256",86
"2257",261
"2258",183
"2259",98
"2260",40
"2261",55
"2262",328
"2263",118
"2264",1114
"2265",234
"2266",82
"2267",135
"2268",12
"2269",50
"2270",97
"2271",114
"2272",32
"2273",96
"2274",142
"2275",95
"2276",67
"2277",35
"2278",19
"2279",21
"2280",52
"2281",26
"2282",362
"2283",121
"2284",34
"2285",384
"2286",388
"2287",102
"2288",131
"2289",95
"2290",96
"2291",14
"2292",183
"2293",5
"2294",218
"2295",41
"2296",48
"2297",285
"2298",161
"2299",76
"2300",18
"2301",30
"2302",178
"2303",34
"2304",34
"2305",58
"2306",35
"2307",301
"2308",151
"2309",219
"2310",333
"2311",2
"2312",856
"2313",191
"2314",16
"2315",132
"2316",47
"2317",41
"2318",741
"2319",215
"2320",22
"2321",100
"2322",101
"2323",13
"2324",274
"2325",67
"2326",320
"2327",39
"2328",149
"2329",90
"2330",94
"2331",111
"2332",134
"2333",127
"2334",371
"2335",95
"2336",222
"2337",926
"2338",238
"2339",166
"2340",70
"2341",108
"2342",352
"2343",195
"2344",96
"2345",98
"2346",712
"2347",40
